Price;obname;price;quty;dirTrigger;AgTrigger;Oid;ag2;Oid2;bestask;bestbid
Price;lvmh;14125;19;A;paul;336;paul;244;14112;14125
Price;lvmh;14121;13;A;paul;336;paul;154;14112;14121
Price;lvmh;14121;58;A;paul;338;paul;154;14106;14121
Price;lvmh;14114;22;A;paul;338;paul;196;14106;14114
Price;lvmh;14113;14;A;paul;338;paul;90;14106;14113
Price;lvmh;14116;86;B;paul;343;paul;344;14116;14873
Price;lvmh;14219;2;B;paul;342;paul;344;14219;14873
Price;lvmh;14219;37;B;paul;342;paul;347;14219;14376
Price;lvmh;14319;9;B;paul;341;paul;347;14319;14376
Price;lvmh;14113;10;A;paul;348;paul;90;14064;14113
Price;lvmh;14109;2;A;paul;348;paul;54;14064;14109
Price;lvmh;14107;49;A;paul;348;paul;155;14064;14107
Price;lvmh;14319;43;B;paul;341;paul;349;14319;14890
Price;lvmh;14319;10;B;paul;341;paul;350;14319;14556
Price;lvmh;14336;43;B;paul;345;paul;350;14336;14556
Price;lvmh;14336;11;B;paul;345;paul;351;14336;14787
Price;lvmh;14336;13;B;paul;345;paul;352;14336;14618
Price;lvmh;14107;6;A;paul;353;paul;155;14092;14107
Price;lvmh;14105;49;A;paul;353;paul;147;14092;14105
Price;lvmh;14336;4;B;paul;345;paul;355;14336;14571
Price;lvmh;14523;49;B;paul;337;paul;355;14523;14571
Price;lvmh;14528;1;B;paul;330;paul;355;14528;14571
Price;lvmh;14571;34;A;paul;356;paul;355;14424;14571
Price;lvmh;14424;56;B;paul;356;paul;357;14424;14756
Price;lvmh;14633;38;B;paul;346;paul;357;14633;14756
Price;lvmh;14160;47;A;paul;358;paul;354;14084;14160
Price;lvmh;14633;47;B;paul;346;paul;359;14633;14661
Price;lvmh;14659;3;B;paul;283;paul;359;14659;14661
Price;lvmh;14693;28;B;paul;231;paul;360;14693;14922
Price;lvmh;14693;26;B;paul;299;paul;360;14693;14922
Price;lvmh;14693;57;B;paul;299;paul;366;14693;14955
Price;lvmh;14698;17;B;paul;273;paul;366;14698;14955
Price;lvmh;14670;13;A;paul;372;paul;370;14153;14670
Price;lvmh;14670;24;A;paul;375;paul;370;14374;14670
Price;lvmh;14662;19;A;paul;375;paul;361;14374;14662
Price;lvmh;14662;56;A;paul;376;paul;361;14524;14662
Price;lvmh;14661;17;A;paul;376;paul;359;14524;14661
Price;lvmh;14698;42;B;paul;273;paul;378;14698;14858
Price;lvmh;14705;37;B;paul;233;paul;378;14705;14858
Price;lvmh;14708;2;B;paul;69;paul;378;14708;14858
Price;lvmh;14661;4;A;paul;382;paul;359;14262;14661
Price;lvmh;14511;10;A;paul;382;paul;380;14262;14511
Price;lvmh;14511;15;A;paul;383;paul;380;14305;14511
Price;lvmh;14511;22;A;paul;385;paul;380;14233;14511
Price;lvmh;14708;38;B;paul;69;paul;387;14708;14777
Price;lvmh;14700;36;A;paul;388;paul;386;14309;14700
Price;lvmh;14511;19;A;paul;388;paul;380;14309;14511
